Tidstämpel,Your education level:,Please indicate your expertise (You may choose one/more from the options): ,"How much do you agree/disagree with this statement: ""I trust the decisions generated from Artificial Intelligence for vehicle safety.""","The advanced Artificial Intelligence security program indicated that your vehicle has been attacked. How much do you agree/disagree with the statement: ""I trust the security program's judgement.""","How much do you agree/disagree with the statement: ""The Table assured me, leading me to trust the security program's judgement."" (*Please look at the Table above *before* answering the question.)","How much do you agree/disagree with the statement: ""The Textual description assured me, leading me to trust the security program's judgement."" (*Please look at the Textual description above *before* answering the question.)","How much do you agree/disagree with the statement: ""The Figure assured me, leading me to trust the security program's judgement."" (*Please check the figure *before* answering the question.)",Which one enhances your understanding of Artificial Intelligence decision-making the most? Choose an option below.,How much do you agree/disagree with this statement: “The Figure is more trustworthy and understandable than the Textual description.”,How much do you agree/disagree with this statement: “The Textual description is more trustworthy and understandable than the Figure.”,How much do you agree/disagree with this statement: “The Figure is more revealing and descriptive than the Textual description.”,How much do you agree/disagree with this statement: “The Textual description is more revealing and descriptive than the Figure.”
2022-05-25 15.20.29,Phd,"AI Expert, Data Analysis Expert, Automotive Expert",Agree,Disagree,Undecided,Agree,Strongly Agree,Figure,Strongly Agree,Disagree,Strongly Agree,Disagree
2022-05-25 15.25.55,PhD,Data Analysis Expert,Disagree,Disagree,Undecided,Agree,Agree,Figure,Strongly Agree,Agree,Strongly Agree,Undecided
2022-05-25 15.32.30,PhD,"AI Expert, Automotive Expert, Cybersecurity",Undecided,Undecided,Undecided,Agree,Agree,Shapley Figure,Agree,Disagree,Strongly Agree,Disagree
2022-05-25 15.43.13,Högskola/Universitet på Advancerad nivå - University (Master's),Student,Agree,Agree,Disagree,Agree,Disagree,Textual description,Strongly Disagree,Agree,Disagree,Agree
2022-05-25 15.55.00,PhD,"AI Novice, Cybersecurity",Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Textual description,Disagree,Undecided,Disagree,Undecided
2022-05-25 16.28.56,Högskola/Universitet på Advancerad nivå - University (Master's),IoT,Strongly Agree,Strongly agree,Strongly Disagree,Agree,Strongly Agree,Shapley Figure,Agree,Disagree,Strongly Agree,Strongly Disagree
2022-05-25 16.30.37,Högskola/Universitet på Advancerad nivå - University (Master's),"AI Expert, IoT, wireless communication, sensors networks",Disagree,Undecided,Disagree,Undecided,Undecided,Shapley Figure,Agree,Disagree,Agree,Disagree
2022-05-25 17.20.46,PhD,"AI Novice, Cybersecurity",Disagree,Undecided,Undecided,Undecided,Undecided,Textual description,Disagree,Undecided,Agree,Undecided
2022-05-25 17.47.01,PhD,"5G and beyond, wireless networks",Agree,Agree,Agree,Disagree,Undecided,Shapley Figure,Agree,Disagree,Agree,Disagree
2022-05-25 18.11.14,PhD,AI Novice,Agree,Agree,Disagree,Undecided,Undecided,Shapley Figure,Agree,Undecided,Agree,Disagree
2022-05-25 20.28.47,Högskola/Universitet på Advancerad nivå - University (Master's),Cybersecurity,Agree,Agree,Agree,Agree,Agree,Shapley Figure,Agree,Disagree,Agree,Disagree
2022-05-25 22.19.33,Högskola/Universitet på Advancerad nivå - University (Master's),Data Analysis Expert,Disagree,Undecided,Strongly Disagree,Agree,Disagree,Textual description,Disagree,Undecided,Undecided,Undecided
2022-05-25 23.07.13,PhD,AI Expert,Agree,Agree,Undecided,Undecided,Undecided,Shapley Figure,Undecided,Undecided,Undecided,Undecided
2022-05-25 23.57.16,Högskola/Universitet på Advancerad nivå - University (Master's),"AI Novice, Jag",Undecided,Agree,Agree,Strongly Agree,Agree,Shapley Figure,Disagree,Strongly Agree,Strongly Agree,Disagree
2022-05-26 10.12.28,PhD,"Automotive Expert, Cybersecurity",Disagree,Agree,Agree,Agree,Strongly Agree,Shapley Figure,Agree,Undecided,Strongly Agree,Disagree
2022-05-26 13.19.59,Högskola/Universitet på Grundnivå - University (Bachelor's),"AI Novice, Cybersecurity",Agree,Undecided,Disagree,Undecided,Agree,Shapley Figure,Disagree,Disagree,Strongly Agree,Strongly Disagree
2022-05-26 15.43.45,Högskola/Universitet på Advancerad nivå - University (Master's),AI Novice,Disagree,Agree,Undecided,Agree,Disagree,Textual description,Disagree,Agree,Strongly Agree,Disagree
2022-05-26 19.44.12,PhD,AI Expert,Agree,Agree,Agree,Agree,Agree,Shapley Figure,Agree,Agree,Agree,Agree
2022-05-26 20.55.48,Högskola/Universitet på Advancerad nivå - University (Master's),AI Expert,Agree,Agree,Undecided,Disagree,Strongly Agree,Shapley Figure,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2022-05-27 07.26.57,PhD,AI Novice,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Textual description,Disagree,Agree,Disagree,Agree
2022-05-27 07.59.02,Högskola/Universitet på Grundnivå - University (Bachelor's),AI Novice,Undecided,Agree,Agree,Strongly Disagree,Agree,Shapley Figure,Agree,Disagree,Agree,Undecided
